cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
B,B_LOG,Log1p,K-Means,NA,4,0.08729,97.26,2.5012,0.7937,0.0856,"kmeans_stability (B=200, 80% subsample, ARI)",0.2027,0.2834,1.4,False,
B,B_LOG,Log1p,K-Means,NA,5,0.08553,83.6,2.4322,0.6937,0.1682,"kmeans_stability (B=200, 80% subsample, ARI)",0.0445,0.2565,5.77,False,
B,B_LOG,Log1p,K-Means,NA,6,0.07408,74.67,2.5438,0.6545,0.1298,"kmeans_stability (B=200, 80% subsample, ARI)",0.0424,0.2389,5.63,False,
B,B_LOG,Log1p,K-Means,NA,7,0.06893,68.01,2.4655,0.5866,0.1393,"kmeans_stability (B=200, 80% subsample, ARI)",0.0414,0.2192,5.3,False,
B,B_LOG,Log1p,GMM,full_cov,2,0.11162,60.63,3.6326,,,NA (not generated),0.272,0.728,2.68,False,BIC=57802; mean_max_posterior=0.963
B,B_LOG,Log1p,GMM,full_cov,3,0.07913,77.46,2.9674,,,NA (not generated),0.1923,0.4137,2.15,False,BIC=59067; mean_max_posterior=0.975
B,B_LOG,Log1p,GMM,full_cov,4,0.06907,72.89,2.9903,,,NA (not generated),0.1417,0.3557,2.51,False,BIC=60575; mean_max_posterior=0.970
B,B_LOG,Log1p,GMM,full_cov,5,0.06009,59.38,3.256,,,NA (not generated),0.0869,0.3619,4.17,False,BIC=61953; mean_max_posterior=0.973
B,B_LOG,Log1p,GMM,full_cov,6,0.05817,56.64,3.0404,,,NA (not generated),0.0558,0.302,5.41,False,BIC=63586; mean_max_posterior=0.978
B,B_LOG,Log1p,GMM,full_cov,7,0.04811,52.85,3.0039,,,NA (not generated),0.0424,0.2709,6.39,False,BIC=65255; mean_max_posterior=0.979
B,B_LOG,Log1p,Spectral,kNN_k10_NJW,2,0.10448,114.2,2.8089,,,NA (not generated),0.4943,0.5057,1.02,False,eigengap_prev=0.09456; eigengap_next=0.01198
