SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
99315.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99316.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99318.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99320.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
99321.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99322.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
99335.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
99338.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
99345.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
99346.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99364.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99366.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99376.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
99396.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
99401.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99416.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99427.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
99438.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
99442.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99443.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
99444.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
99446.0,0,1,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0
99448.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99449.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
99456.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
99463.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
99466.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99484.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99488.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
99494.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99531.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
99541.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
99563.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
99573.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99584.0,1,0,0,3,1,1,0,0,1,0,2,6,0,0,0,0,0,0
99593.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99599.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99613.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99631.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99655.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99659.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99665.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
99676.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99686.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
99710.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
99711.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
99720.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
99724.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99744.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
99745.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
99759.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
99763.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
99765.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
99766.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
99782.0,0,1,1,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0
99783.0,1,0,0,4,4,4,0,2,2,2,5,5,0,0,1,1,1,1
99790.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
